FID,Country,Observation,Evidence,Total_no,Location_Name,Description,Source,Contributor,Assessment_Year,WebLink,Lat,Long,Closest_Lat,Closest_Long,Combined_Lat,Combined_Long,Comments,Data_Sensitivity,Data Request Info
15010,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.405827,20.538368, , ,-26.405827,20.538368,Female - cubs (>12m),medium,
15011,South Africa,Tourist record,Photo,4,Kgalagadi Transfrontier Parkand surrounding areas,between Cubitje Quap and Kwang,Tourist photos,MGL Mills,2014,NA, , ,-25.3350825,20.539491,-25.335082,20.539491,Female with cubs,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15012,South Africa,Tourist record,Photo,4,Kgalagadi Transfrontier Parkand surrounding areas,Btw Cubitje Quap and Kwang,Tourist photos,MGL Mills,2014,NA, , ,-25.3350825,20.539491,-25.335082,20.539491,Female with cubs,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15013,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2011,NA,-26.175908,20.540042, , ,-26.175908,20.540042,SM,medium,
15014,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,N of AC,Tourist photos,MGL Mills,2012,NA,-26.167213,20.540378, , ,-26.167213,20.540378,Single male,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15015,South Africa,Tourist record,Photo,2,Kgalagadi Transfrontier Parkand surrounding areas,N of AC,Tourist photos,MGL Mills,2013,NA,-26.167954,20.540551, , ,-26.167954,20.540551,Coalition,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15016,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2012,NA,-26.40246,20.540588, , ,-26.40246,20.540588,Female - cubs (7-9m),medium,
15017,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,GP/AC,Tourist photos,MGL Mills,2011,NA,-26.166762,20.540774, , ,-26.166762,20.540774,Single female,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15018,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.398287,20.540873, , ,-26.398287,20.540873,Female - cubs (10-12m),medium,
15019,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.294042,20.541677, , ,-26.294042,20.541677,CM,medium,
15020,South Africa,Opportunistic observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2011,NA,-26.192,20.542, , ,-26.192,20.542,SM,medium,
15021,South Africa,Tourist record,Photo,2,Kgalagadi Transfrontier Parkand surrounding areas,LDR Auob junction,Tourist photos,MGL Mills,2011,NA,-26.16961,20.542139, , ,-26.16961,20.542139,Coalition,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15022,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2012,NA,-26.427617,20.542257, , ,-26.427617,20.542257,Female - cubs (>12m),medium,
15023,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,Lower dune rd in Auob,Tourist photos,MGL Mills,2011,NA,-26.172112,20.542578, , ,-26.172112,20.542578,Single female,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15024,South Africa,Tourist record,Photo,2,Kgalagadi Transfrontier Parkand surrounding areas,lower dune rd turn off in Auob,Tourist photos,MGL Mills,2012,NA,-26.172112,20.542578, , ,-26.172112,20.542578,Coalition,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15025,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,turn off to lower dune rd,Tourist photos,MGL Mills,2011,NA,-26.172139,20.542587, , ,-26.172139,20.542587,Single male,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15026,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.159965,20.542953, , ,-26.159965,20.542953,SM,medium,
15027,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,KI turnoff,Tourist photos,MGL Mills,2011,NA,-26.170496,20.54299, , ,-26.170496,20.54299,Single female,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15028,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.402932,20.543317, , ,-26.402932,20.543317,Female - cubs (>12m),medium,
15029,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2012,NA,-26.110627,20.543558, , ,-26.110627,20.543558,Single female,medium,
