scenario,from_core,to_core,cost_2012,path_length_km_2012,cost_2016,path_length_km_2016,cost_2020,path_length_km_2020,cost_2024,path_length_km_2024,cost_change_2012_2016,cost_change_percent_2012_2016,path_length_change_km_2012_2016,cost_change_2016_2020,cost_change_percent_2016_2020,path_length_change_km_2016_2020,cost_change_2020_2024,cost_change_percent_2020_2024,path_length_change_km_2020_2024,cost_change_2012_2024,cost_change_percent_2012_2024,path_length_change_km_2012_2024
veg_balanced,9,13,50743.9453125,25.556349186102135,46481.77734375,26.38477631084542,43928.1328125,26.798989873219607,46948.2734375,26.38477631084542,-4262.16796875,-8.39936260868561,0.8284271247432855,-2553.64453125,-5.493861631763456,0.4142135623741865,3020.140625,6.875185516969212,-0.4142135623741865,-3795.671875,-7.480048805083735,0.8284271247432855
veg_balanced,9,17,96538.2578125,56.242640687126574,94059.4453125,56.65685424949857,92298.7890625,58.07106781186323,88126.4453125,57.6568542494904,-2478.8125,-2.5676996417466293,0.414213562371998,-1760.65625,-1.871854808573933,1.4142135623646581,-4172.34375,-4.520475070561005,-0.41421356237282936,-8411.8125,-8.713449662969595,1.4142135623638268
veg_balanced,13,17,165013.015625,98.42640687118784,154541.0,101.32590180780845,149698.390625,98.01219330881582,142264.71875,98.01219330881474,-10472.015625,-6.34617553369133,2.899494936620613,-4842.609375,-3.133543444781644,-3.313708498992625,-7433.671875,-4.9657660606529985,-1.0800249583553523e-12,-22748.296875,-13.785759134719772,-0.41421356237309226
veg_balanced,17,24,59862.44140625,32.07106781186861,56723.33203125,32.07106781186833,53852.23828125,32.24264068711808,53994.23828125,31.414213562371888,-3139.109375,-5.24387128432797,-2.7711166694643907e-13,-2871.09375,-5.061574571145182,0.17157287524975118,142.0,0.2636844902497597,-0.8284271247461952,-5868.203125,-9.802812894275515,-0.6568542494967211
veg_balanced,18,24,23775.130859375,9.41421356237589,24805.3671875,9.41421356237589,23813.447265625,9.41421356237589,25957.55859375,9.41421356237589,1030.236328125,4.333251977533313,0.0,-991.919921875,-3.998811686104979,0.0,2144.111328125,9.003783888190144,0.0,2182.427734375,9.179456244777832,0.0
veg_balanced,18,28,252119.375,155.14213562373357,266926.75,153.4852813742377,257074.671875,158.0416305603464,283829.09375,163.42640687118956,14807.375,5.873160283694976,-1.656854249495865,-9852.078125,-3.6909294872095058,4.55634918610869,26754.421875,10.407257035422406,5.384776310843165,31709.71875,12.577263746588297,8.28427124745599
veg_balanced,18,33,187789.921875,117.98275605729931,193603.90625,117.98275605729712,193014.03125,117.98275605729712,205155.578125,117.98275605730149,5813.984375,3.0960044697553077,-2.1884716261411086e-12,-589.875,-0.30468135247142,0.0,12141.546875,6.290499605841479,4.362732397567015e-12,17365.65625,9.24738456494978,2.1742607714259066e-12
veg_balanced,24,28,33970.3984375,21.00000000000093,33950.2734375,21.00000000000093,31310.826171875,21.00000000000093,32787.66796875,21.00000000000093,-20.125,-0.0592427552388787,0.0,-2639.447265625,-7.774450684422414,0.0,1476.841796875,4.716712963012057,0.0,-1182.73046875,-3.481650269501641,0.0
veg_balanced,24,33,62614.0859375,39.69848480983784,62942.08984375,39.69848480983566,62727.453125,39.698484809838924,67720.0546875,39.69848480983675,328.00390625,0.5238500272564967,-2.1742607714259066e-12,-214.63671875,-0.3410066606984657,3.26139115713886e-12,4992.6015625,7.959196992345606,-2.1742607714259066e-12,5105.96875,8.15466467896164,-1.0871303857129533e-12
veg_balanced,24,38,174864.953125,105.1421356237292,168877.484375,104.72792206135956,161990.515625,104.72792206136147,182069.453125,104.72792206135874,-5987.46875,-3.424053043790847,-0.414213562369639,-6886.96875,-4.078085823866951,1.9042545318370685e-12,20078.9375,12.395131543677373,-2.7284841053187847e-12,7204.5,4.120036560356353,-0.41421356237046325
veg_balanced,26,27,223509.359375,109.69848480984002,204681.828125,108.56854249492929,205056.625,108.56854249493257,212299.09375,108.56854249492822,-18827.53125,-8.423598592312864,-1.1299423149107355,374.796875,0.18311194424700472,3.282707439211663e-12,7242.46875,3.531935995728009,-4.348521542851813e-12,-11210.265625,-5.015568769176962,-1.1299423149118013
