from_core,to_core,robust_priority_link,importance_rank,edge_betweenness_normalized,effective_cost_2012,path_length_km_2012,effective_cost_2016,path_length_km_2016,effective_cost_2020,path_length_km_2020,effective_cost_2024,path_length_km_2024,cost_change_2012_2016,cost_change_percent_2012_2016,path_length_change_km_2012_2016,cost_change_2016_2020,cost_change_percent_2016_2020,path_length_change_km_2016_2020,cost_change_2020_2024,cost_change_percent_2020_2024,path_length_change_km_2020_2024,cost_change_2012_2024,cost_change_percent_2012_2024,path_length_change_km_2012_2024
43,49,yes,13,0.04805194805194805,266359.9375,147.89949493660862,266359.625,147.89949493660862,266360.3125,147.89949493660862,266653.53125,147.89949493660862,-0.3125,-0.00011732244831300877,0.0,0.6875,0.0002581096891092259,0.0,293.21875,0.11008349826890972,0.0,293.59375,0.11022444019007176,0.0
40,42,yes,14,0.047113997113997115,41716.85546875,22.242640687117582,41716.85546875,22.242640687117582,41716.85546875,22.242640687117582,41716.18359375,22.242640687117582,0.0,0.0,0.0,0.0,0.0,0.0,-0.671875,-0.0016105600301137273,0.0,-0.671875,-0.0016105600301137273,0.0
41,43,yes,15,0.04646464646464646,226678.71875,119.95331880577162,226678.71875,119.95331880577162,226679.09375,119.95331880577162,226708.6875,119.95331880577162,0.0,0.0,0.0,0.375,0.00016543238027279524,0.0,29.59375,0.013055350412084483,0.0,29.96875,0.013220804390134221,0.0
45,50,yes,16,0.04487734487734488,312998.71875,276.9066376115472,312998.71875,276.9066376115472,312998.71875,276.9066376115472,312990.375,276.9066376115472,0.0,0.0,0.0,0.0,0.0,0.0,-8.34375,-0.0026657457363793123,0.0,-8.34375,-0.0026657457363793123,0.0
45,49,yes,17,0.04285714285714286,200676.1875,111.79898987322426,200675.859375,111.79898987322426,200676.546875,111.79898987322426,200970.84375,111.79898987322426,-0.328125,-0.00016350968397782622,0.0,0.6875,0.0003425922789822362,0.0,294.296875,0.1466523515492398,0.0,294.65625,0.14683169621208794,0.0
50,53,yes,18,0.031385281385281384,518496.9375,279.2914139224044,518498.0625,279.2914139224044,518497.78125,279.2914139224044,518796.78125,279.29141392240336,1.125,0.00021697331625994415,0.0,-0.28125,-5.424321137169148e-05,0.0,299.0,0.057666591991805176,-1.0231815394945443e-12,299.84375,0.05782941581983789,-1.0231815394945443e-12
36,41,yes,19,0.028282828282828278,177982.296875,149.1959594928918,177982.296875,149.1959594928918,177982.296875,149.1959594928918,177977.796875,149.19595949289504,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,-0.002528341345746553,3.240074875066057e-12,-4.5,-0.002528341345746553,3.240074875066057e-12
18,28,yes,20,0.025974025974025986,166076.375,153.4852813742399,166076.625,153.4852813742399,166077.015625,153.4852813742399,166071.75,153.4852813742399,0.25,0.00015053315078679915,0.0,0.390625,0.00023520769403882093,0.0,-5.265625,-0.0031705922581663683,0.0,-4.625,-0.002784863289555784,0.0
18,33,yes,21,0.025974025974025983,128493.203125,117.98275605729823,128493.203125,117.98275605729823,128493.203125,117.98275605729823,128489.6484375,117.98275605729823,0.0,0.0,0.0,0.0,0.0,0.0,-3.5546875,-0.0027664401023157234,0.0,-3.5546875,-0.0027664401023157234,0.0
24,28,yes,22,0.021645021645021644,21697.189453125,21.00000000000093,21697.189453125,21.00000000000093,21697.189453125,21.00000000000093,21696.556640625,21.00000000000093,0.0,0.0,0.0,0.0,0.0,0.0,-0.6328125,-0.0029165643843740204,0.0,-0.6328125,-0.0029165643843740204,0.0
24,33,yes,23,0.021645021645021644,41131.984375,39.69848480983784,41131.984375,39.69848480983784,41131.984375,39.69848480983784,41130.7890625,39.69848480983784,0.0,0.0,0.0,0.0,0.0,0.0,-1.1953125,-0.002906041413179449,0.0,-1.1953125,-0.002906041413179449,0.0
36,43,yes,24,0.015656565656565653,194130.171875,111.7401153701843,194130.171875,111.7401153701843,194130.171875,111.7401153701843,194126.796875,111.7401153701843,0.0,0.0,0.0,0.0,0.0,0.0,-3.375,-0.001738524190960463,0.0,-3.375,-0.001738524190960463,0.0
30,36,yes,25,0.015295815295815295,31000.939453125,30.99999999999907,31000.939453125,30.99999999999907,31000.939453125,30.99999999999907,31000.0,30.99999999999907,0.0,0.0,0.0,0.0,0.0,0.0,-0.939453125,-0.003030402115460085,0.0,-0.939453125,-0.003030402115460085,0.0
