period,grid_x,grid_y,x,y,source_records,source_count,resistance,inside_fixed_core,within_10km_priority_path
early_2010_2012,-41,-281,-404683.596785424,-2806121.572645098,6,3,1.78773234128952,1,0
early_2010_2012,-42,-281,-412314.6641132341,-2804714.984547178,3,1,1.7612963800430297,1,0
early_2010_2012,-40,-281,-399360.1555875723,-2804694.064897865,4,1,1.9360657777786254,1,0
early_2010_2012,-42,-280,-412323.4756456301,-2799071.680405304,2,1,1.7627372031211852,1,0
early_2010_2012,-40,-278,-391057.93269046274,-2778537.725066155,1,1,1.767317045211792,1,0
early_2010_2012,36,-263,361206.8404893624,-2628481.6646333486,2,2,3.7597802429199225,0,0
early_2010_2012,40,-260,407810.61731960694,-2597190.827276975,1,1,3.615037406921387,1,0
early_2010_2012,-38,-254,-371790.6884008367,-2538188.09959659,1,1,1.7848245487213135,1,0
early_2010_2012,-40,-253,-393952.917568104,-2525871.289735228,1,1,1.4796736035346985,0,0
early_2010_2012,-13,-252,-125892.38673114107,-2513268.736547135,4,2,1.8010226736068726,1,0
early_2010_2012,-13,-251,-121356.6546687523,-2501055.277085761,3,1,1.9041338381767272,1,0
early_2010_2012,-1,-235,-2177.4439202882763,-2349043.2568750083,1,1,1.832586224079132,1,0
early_2010_2012,-17,-225,-163296.3567453088,-2248194.775841452,4,3,2.3113472261428836,0,0
early_2010_2012,-19,-225,-186703.92711921097,-2240497.80183964,3,1,1.435870223045349,0,0
early_2010_2012,-18,-223,-177226.65277744242,-2228627.4851903915,1,1,1.2155025835037232,0,0
early_2010_2012,-16,-216,-156960.31495857445,-2158696.1768147945,1,1,2.0649204149246216,0,0
early_2010_2012,-8,-216,-77517.550936296,-2156796.415837556,1,1,2.2634140720367433,0,0
early_2010_2012,-27,-296,-260553.84423551874,-2958964.287703991,1,1,1.7726473693847655,1,0
early_2010_2012,-30,-294,-294866.89893619675,-2935340.5287816226,1,1,1.9803254690170287,1,0
early_2010_2012,-15,-293,-142356.20754771776,-2928629.2015659213,1,1,1.9848611035346986,1,0
early_2010_2012,-41,-292,-405322.31719331065,-2910350.2433721423,1,1,1.8280226736068728,1,0
early_2010_2012,-37,-291,-367330.13451273233,-2909610.884879599,3,1,1.7830226736068726,1,0
early_2010_2012,-25,-291,-245623.11117728078,-2902994.239447216,3,1,1.6376296105384827,1,0
early_2010_2012,-26,-291,-253368.96664082678,-2902901.7006460726,2,1,1.770684174537659,1,0
early_2010_2012,-21,-289,-208706.29423092483,-2881644.211648464,1,1,1.8191122198104857,1,0
early_2010_2012,-23,-289,-224159.58516907349,-2881637.3459324837,1,1,1.794529125213623,1,0
early_2010_2012,-22,-289,-215108.82211176338,-2880089.3524900973,1,1,1.837294725894928,1,0
early_2010_2012,-22,-288,-214788.07961057735,-2873910.7359174266,12,1,1.8164145069122315,1,0
early_2010_2012,-23,-288,-223785.85501955077,-2873617.6502820924,8,1,1.7872737431526182,1,0
early_2010_2012,-21,-288,-208992.2041817683,-2872658.282178402,2,1,1.8220440430641174,1,0
early_2010_2012,-24,-287,-231891.52874844105,-2866194.686975608,3,1,1.8040126876831055,1,0
early_2010_2012,-23,-287,-224036.65535022077,-2863364.5146486172,40,1,1.8591909523010255,1,0
early_2010_2012,-22,-287,-217788.05774645717,-2862328.9115048656,54,1,1.7753339824676513,1,0
early_2010_2012,-21,-287,-205222.953362724,-2864277.096264372,9,1,1.7831559000015258,1,0
early_2010_2012,-22,-286,-217029.88675126786,-2857788.3134168377,30,1,1.7160760216712951,1,0
early_2010_2012,-23,-286,-224233.34901323688,-2856175.0054760547,20,1,1.770128592967987,1,0
early_2010_2012,-24,-286,-231403.99867551582,-2857946.790379524,2,1,1.6760472874641419,1,0
early_2010_2012,-21,-286,-205074.02992133284,-2853301.080292175,6,1,1.6567938017845154,1,0
early_2010_2012,-39,-286,-387832.4818520276,-2851325.5962779224,1,1,1.7290226736068728,1,0
early_2010_2012,-22,-285,-215057.24882113555,-2845627.7494528056,10,1,1.6532846975326538,1,0
early_2010_2012,-23,-285,-226636.36480701383,-2847354.313962394,5,1,1.6434637031555175,1,0
early_2010_2012,-24,-285,-234594.80911363717,-2848838.7775171995,1,1,1.6995272159576416,1,0
early_2010_2012,-21,-285,-203692.332077789,-2841937.7487685303,15,1,2.083633683204651,1,0
early_2010_2012,-21,-284,-202761.48991592025,-2834396.4574792306,11,1,2.6471393060684205,1,0
early_2010_2012,-22,-284,-213786.9519299435,-2837922.627167046,3,1,1.6996516108512878,1,0
early_2010_2012,-23,-284,-227811.86453404734,-2832053.7073025107,3,1,1.678303141117096,1,0
early_2010_2012,-20,-284,-199772.2496795161,-2833140.5856637657,1,1,3.2826248359680177,1,0
early_2010_2012,-27,-284,-260261.54716572433,-2831984.718526423,2,1,1.6846129484176637,1,0
early_2010_2012,-26,-284,-259307.38877385863,-2830515.1845114627,3,1,1.6034482011795044,1,0
early_2010_2012,-21,-283,-208900.66737713132,-2829995.0296842456,1,1,1.681135437965393,1,0
early_2010_2012,-24,-283,-230059.93639312888,-2820414.3879282176,1,1,2.016869947433472,1,0
early_2010_2012,-39,-282,-380054.68326291355,-2817560.416349232,1,1,1.8856172575950623,1,0
early_2010_2012,-24,-282,-235049.48275222274,-2816510.796579999,5,1,2.483892827033997,1,0
early_2010_2012,-48,-282,-473672.82727320655,-2813378.7318658754,4,1,1.634264497756958,1,0
early_2010_2012,-23,-281,-226384.73279718455,-2805536.956112212,5,1,1.7069189634323119,1,0
early_2010_2012,-42,-276,-417084.02998739795,-2752151.065264508,2,1,2.274262083053589,1,0
early_2010_2012,-9,-272,-84073.30116291443,-2718898.2013186514,1,1,1.7650226736068724,1,0
early_2010_2012,-40,-272,-396890.1984517944,-2710626.308552414,1,1,1.7371850595474243,1,0
early_2010_2012,41,-259,415243.54282817105,-2583789.470648557,3,1,2.725656785964966,1,0
early_2010_2012,42,-259,421798.7608987419,-2581058.627467811,1,1,3.0256525230407716,1,0
early_2010_2012,-38,-255,-374536.3636358685,-2547037.8105125427,1,1,2.3140062084198,1,0
early_2010_2012,-3,-233,-23891.359448335024,-2327843.037534654,1,1,3.304022678375244,1,0
early_2010_2012,-22,-229,-214053.62920212024,-2285333.6090889275,1,1,1.3367093601226807,0,0
early_2010_2012,-18,-228,-174303.4607008772,-2276963.2251520753,3,2,1.4152425656318666,0,0
early_2010_2012,-17,-226,-169885.34044262103,-2255431.424168835,3,1,2.3242564897537235,0,0
early_2010_2012,-13,-225,-128006.06975132633,-2244778.677179903,1,1,2.4647641649246217,1,0
early_2010_2012,-44,-305,-437355.6867408094,-3044494.93711695,30,4,2.2966410865783695,1,0
early_2010_2012,-28,-286,-274462.4109095017,-2853568.5646939576,1,1,1.74993998336792,1,0
early_2010_2012,-40,-285,-398389.76600061066,-2840772.4344441295,1,1,1.7850033426284788,1,0
early_2010_2012,-45,-282,-448129.38853997644,-2810727.3735632896,2,1,1.7906114840507505,1,0
early_2010_2012,-45,-281,-446740.30118944997,-2801985.281621933,1,1,1.802492593765259,1,0
early_2010_2012,-28,-272,-272362.1649643706,-2710506.340958804,1,1,1.615203131198883,1,0
early_2010_2012,42,-258,425446.94126269,-2578398.2440954233,7,2,2.9593587598800664,0,0
early_2010_2012,-32,-252,-315007.4174485152,-2519051.791254729,2,1,1.6625598130226134,1,0
early_2010_2012,-11,-247,-102063.34345532363,-2468501.5020220876,2,1,68.1706447839737,1,0
early_2010_2012,-17,-229,-166584.64227561973,-2286007.511482179,1,1,1.2167558307647706,0,0
early_2010_2012,-21,-227,-200748.83999983637,-2267892.174412191,1,1,1.3870226736068727,0,0
early_2010_2012,-18,-224,-178162.59172235144,-2238683.616615638,2,1,1.4386898736953735,0,0
early_2010_2012,-17,-214,-162953.3167948569,-2137011.785878241,1,1,2.1622817211151126,0,0
late_2013_2016,-39,-302,-386814.43022143666,-3019981.513268262,1,1,1.9558224391937258,1,0
late_2013_2016,-37,-299,-363971.89122781454,-2989137.5145193636,1,1,2.0544980211257933,0,0
