scenario,year,from_core,to_core,path_length_km,cost_raw
veg_balanced,2024,30,41,170.49242404917618,286854.6875
veg_balanced,2024,31,32,64.72792206134909,120290.890625
veg_balanced,2024,33,38,39.69848480982907,76249.4296875
veg_balanced,2024,36,40,63.8406204335631,119231.4375
veg_balanced,2024,36,41,149.610173055266,248247.453125
veg_balanced,2024,36,43,114.22539674441454,255532.96875
veg_balanced,2024,38,40,25.55634918611079,50401.171875
veg_balanced,2024,38,42,30.28427124746256,54335.640625
veg_balanced,2024,40,42,21.828427124744216,51967.28515625
veg_balanced,2024,40,43,135.02438661763907,289662.8125
veg_balanced,2024,40,45,143.92388155424788,300501.8125
veg_balanced,2024,41,43,119.36753236814141,258710.109375
veg_balanced,2024,41,45,148.1076477383215,390901.65625
veg_balanced,2024,42,50,51.828427124744984,103699.78125
veg_balanced,2024,43,45,25.5563491861035,65647.234375
veg_balanced,2024,43,49,151.2132034355953,306567.78125
veg_balanced,2024,45,49,112.21320343559763,237444.71875
veg_balanced,2024,45,50,276.7350647362904,539999.875
veg_balanced,2024,45,53,267.59797974644584,665692.75
veg_balanced,2024,49,53,124.72792206136367,350951.3125
veg_balanced,2024,50,53,260.49242404918544,637808.6875
veg_high,2012,1,9,99.28427124746865,137451.109375
veg_high,2012,1,13,208.693434175954,329900.25
veg_high,2012,1,17,242.98275605729884,402859.1875
veg_high,2012,9,13,25.556349186105138,55222.8203125
veg_high,2012,9,17,56.242640687126574,114730.984375
veg_high,2012,13,17,98.4264068711911,198266.34375
veg_high,2012,17,24,32.07106781186833,72904.75
veg_high,2012,18,24,9.41421356237589,26389.7890625
veg_high,2012,18,28,157.21320343560012,334400.78125
veg_high,2012,18,33,117.98275605729933,246251.53125
veg_high,2012,24,28,21.00000000000093,46194.93359375
veg_high,2012,24,33,39.69848480983784,83968.5234375
veg_high,2012,24,38,105.14213562373084,233369.09375
veg_high,2012,26,27,109.22539674442561,250897.4375
veg_high,2012,26,31,23.485281374241865,57718.90625
veg_high,2012,26,32,118.56854249492555,310484.375
veg_high,2012,27,30,208.01219330882807,496150.6875
veg_high,2012,27,31,315.85281374239014,771768.0
veg_high,2012,27,32,446.62236636409295,1066238.125
veg_high,2012,27,41,158.19595949289484,372564.3125
veg_high,2012,28,33,21.00000000000745,48775.3125
veg_high,2012,28,38,35.556349186098394,87840.3125
veg_high,2012,30,36,30.99999999999907,70105.46875
veg_high,2012,30,40,136.26702730475833,334977.6875
veg_high,2012,30,41,169.90663761155037,423485.125
veg_high,2012,31,32,64.31370849897533,147426.484375
veg_high,2012,33,38,41.00000000000186,86136.5390625
veg_high,2012,36,40,63.84062043356747,166597.875
veg_high,2012,36,41,145.8822509939075,367002.0
veg_high,2012,36,43,108.8406204335674,327013.0625
veg_high,2012,38,40,25.556349186109426,67551.140625
veg_high,2012,38,42,29.698484809835655,70738.3515625
veg_high,2012,40,42,21.41421356237139,66887.21875
veg_high,2012,40,43,132.53910524339506,374730.6875
veg_high,2012,40,45,136.30865786509838,385274.78125
veg_high,2012,41,43,93.88225099391182,290391.1875
veg_high,2012,41,45,147.5218613006976,450917.0
veg_high,2012,42,50,52.24264068711808,135379.578125
veg_high,2012,43,45,25.556349186104864,84801.296875
veg_high,2012,43,49,147.89949493661098,402578.78125
veg_high,2012,45,49,111.79898987322453,308655.3125
veg_high,2012,45,50,271.80613254815677,704727.25
veg_high,2012,45,53,267.597979746445,765516.125
veg_high,2012,49,53,125.5563491861036,375126.875
veg_high,2012,50,53,259.90663761154985,737891.4375
veg_high,2016,1,9,99.69848480984038,136695.265625
veg_high,2016,1,13,210.10764773832406,312461.84375
veg_high,2016,1,17,252.02438661765794,412094.53125
veg_high,2016,9,13,25.97056274847396,47306.35546875
veg_high,2016,9,17,61.62741699796672,107534.8125
veg_high,2016,13,17,104.15432893255465,167479.34375
veg_high,2016,17,24,32.07106781186833,65249.875
veg_high,2016,18,24,9.41421356237589,28209.982421875
veg_high,2016,18,28,153.485281374241,361022.03125
veg_high,2016,18,33,117.98275605729711,257302.640625
veg_high,2016,24,28,21.00000000000093,46073.515625
veg_high,2016,24,33,39.69848480983456,84652.015625
veg_high,2016,24,38,104.72792206136009,221775.84375
veg_high,2016,26,27,107.9827560573046,212940.65625
veg_high,2016,26,31,23.485281374242952,53889.33203125
