scenario,from_core,to_core,recalculated,scenario_path_within_5km_of_primary_percent,path_length_change_km,cost_change_percent
kruger_conservative,38,40,0,100.00000000000001,0.0,0.0
kruger_conservative,38,42,0,100.0,0.0,0.0
kruger_conservative,40,42,0,100.0,0.0,0.0
kruger_conservative,40,43,0,100.0,0.0,0.0
kruger_conservative,40,45,0,100.0,0.0,0.0
kruger_conservative,41,43,0,100.0,0.0,0.0
kruger_conservative,41,45,0,100.0,0.0,0.0
kruger_conservative,42,50,0,100.0,0.0,0.0
kruger_conservative,43,45,0,100.0,0.0,0.0
kruger_conservative,43,49,0,100.0,0.0,0.0
kruger_conservative,45,49,0,100.0,0.0,0.0
kruger_conservative,45,50,0,100.0,0.0,0.0
kruger_conservative,45,53,0,100.0,0.0,0.0
kruger_conservative,49,53,0,100.0,0.0,0.0
kruger_conservative,50,53,0,100.0,0.0,0.0
