density_value,cell_count,percent_positive_cells,cumulative_percent_at_or_above
134.0,11,0.00139465593204222,2.152841611461536
133.0,198,0.02510380677675996,2.177945418238296
132.0,16,0.0020285904466068655,2.1799740086849027
131.0,15,0.0019018035436939363,2.1818758122285966
130.0,3,0.0003803607087387873,2.1822561729373358
129.0,14,0.0017750166407810074,2.1840311895781164
128.0,12,0.001521442834955149,2.1855526324130716
127.0,2,0.0002535738058258582,2.1858062062188974
126.0,13,0.0016482297378680782,2.1874544359567656
123.0,14,0.0017750166407810074,2.1892294525975466
122.0,1,0.0001267869029129291,2.1893562395004595
121.0,1,0.0001267869029129291,2.1894830264033724
120.0,29,0.003676820184474944,2.1931598465878475
119.0,9,0.0011410821262163619,2.194300928714064
118.0,6,0.0007607214174775745,2.1950616501315414
116.0,92,0.011664395067989476,2.206726045199531
115.0,18,0.0022821642524327238,2.2090082094519636
114.0,202,0.025610954388411676,2.2346191638403754
113.0,8,0.0010142952233034327,2.2356334590636786
112.0,2,0.0002535738058258582,2.2358870328695044
111.0,25,0.0031696725728232273,2.239056705442328
108.0,3,0.0003803607087387873,2.2394370661510665
107.0,6,0.0007607214174775745,2.2401977875685444
106.0,9,0.0011410821262163619,2.2413388696947605
105.0,14,0.0017750166407810074,2.2431138863355415
104.0,14,0.0017750166407810074,2.2448889029763226
103.0,17,0.0021553773495197946,2.2470442803258424
102.0,16,0.0020285904466068655,2.249072870772449
101.0,1,0.0001267869029129291,2.249199657675362
100.0,14,0.0017750166407810074,2.250974674316143
99.0,1,0.0001267869029129291,2.251101461219056
98.0,67,0.00849472249516625,2.259596183714222
97.0,26,0.0032964594757361565,2.2628926431899585
96.0,8,0.0010142952233034327,2.2639069384132617
95.0,203,0.025737741291324605,2.2896446797045864
94.0,18,0.0022821642524327238,2.291926843957019
93.0,1,0.0001267869029129291,2.292053630859932
92.0,14,0.0017750166407810074,2.293828647500713
91.0,7,0.0008875083203905037,2.2947161558211038
90.0,13,0.0016482297378680782,2.296364385558972
89.0,3,0.0003803607087387873,2.2967447462677106
88.0,14,0.0017750166407810074,2.2985197629084917
87.0,15,0.0019018035436939363,2.3004215664521857
86.0,12,0.001521442834955149,2.3019430092871405
85.0,2,0.0002535738058258582,2.3021965830929667
84.0,29,0.003676820184474944,2.3058734032774413
83.0,14,0.0017750166407810074,2.3076484199182223
81.0,6,0.0007607214174775745,2.3084091413357
80.0,8,0.0010142952233034327,2.3094234365590034
79.0,69,0.008748296300992107,2.318171732859996
78.0,27,0.0034232463786490856,2.3215949792386446
77.0,26,0.0032964594757361565,2.324891438714381
76.0,194,0.024596659165108243,2.349488097879489
75.0,7,0.0008875083203905037,2.3503756061998797
74.0,18,0.0022821642524327238,2.3526577704523124
73.0,12,0.001521442834955149,2.3541792132872676
72.0,12,0.001521442834955149,2.3557006561222225
71.0,15,0.0019018035436939363,2.3576024596659164
70.0,7,0.0008875083203905037,2.358489967986307
69.0,12,0.001521442834955149,2.360011410821262
68.0,25,0.0031696725728232273,2.3631810833940854
67.0,6,0.0007607214174775745,2.363941804811563
66.0,27,0.0034232463786490856,2.367365051190212
65.0,2,0.0002535738058258582,2.367618624996038
64.0,20,0.002535738058258582,2.3701543630542963
63.0,16,0.0020285904466068655,2.372182953500903
61.0,8,0.0010142952233034327,2.373197248724207
60.0,91,0.011537608165076547,2.3847348568892834
59.0,18,0.0022821642524327238,2.387017021141716
58.0,21,0.002662524961171511,2.3896795461028875
57.0,215,0.027259184126279756,2.4169387302291674
56.0,20,0.002535738058258582,2.419474468287426
55.0,24,0.003042885669910298,2.4225173539573364
54.0,32,0.004057180893213731,2.42657453485055
53.0,20,0.002535738058258582,2.4291102729088085
52.0,21,0.002662524961171511,2.43177279786998
51.0,231782,29.386921930964533,31.81869472883451
50.0,5476,0.6942850803511997,32.51297980918571
49.0,4583,0.5810643760499541,33.09404418523567
48.0,4638,0.5880376557101651,33.68208184094583
47.0,147098,18.650099844686043,52.33218168563187
46.0,40044,5.077054740245333,57.409236425877204
45.0,1689,0.21414307901993723,57.623379504897144
44.0,1915,0.2427969190782592,57.8661764239754
43.0,3164,0.40115376081650767,58.26733018479191
42.0,3423,0.4339915686709563,58.701321753462864
41.0,1805,0.22885035975783702,58.930172113220706
40.0,2410,0.30555643602015914,59.23572854924086
39.0,1810,0.22948429427240166,59.465212843513264
38.0,2049,0.25978636406859174,59.72499920758186
37.0,1832,0.2322736061364861,59.95727281371834
36.0,32153,4.076579289359409,64.03385210307775
35.0,2557,0.3241941107483597,64.35804621382611
34.0,2315,0.29351168024343083,64.65155789406954
33.0,3100,0.39303939903008017,65.04459729309963
32.0,3332,0.42245396050587974,65.4670512536055
31.0,1760,0.2231449491267552,65.69019620273225
30.0,1756,0.22263780151510348,65.91283400424736
29.0,2720,0.34486037592316715,66.25769438017053
28.0,1708,0.2165520301752829,66.47424641034581
27.0,2394,0.3035278455735523,66.77777425591937
